data name: WN18RR
model name: MRAN
learning rate: 0.001
entity dimension: 400
relation dimension: 400
batch size: 128
decay rate: 1.0
label smoothing: 0.1
convolution parameters: {'input_dropout': 0.4, 'hidden_dropout': 0.4, 'feature_map_dropout': 0.3, 'in_channels': 1, 'out_channels': 48, 'filt_height': 2, 'filt_width': 7}

Epoch	MR	MRR	Hits1	Hits3	Hits10	Best_MR	Best_MRR	Best_Hits1	Best_Hits3	Best_Hits10
340	5322.7	0.465	0.435	0.475	0.525	5297.3	0.466	0.436	0.479	0.525
345	5380.2	0.464	0.433	0.475	0.523	5297.3	0.466	0.436	0.479	0.525
350	5251.3	0.464	0.433	0.477	0.522	5251.3	0.466	0.436	0.479	0.525
355	5337.1	0.466	0.435	0.478	0.526	5251.3	0.466	0.436	0.479	0.526
360	5279.6	0.466	0.436	0.477	0.526	5251.3	0.466	0.436	0.479	0.526
365	5259.6	0.467	0.437	0.477	0.524	5251.3	0.467	0.437	0.479	0.526
370	5223.7	0.465	0.434	0.477	0.524	5223.7	0.467	0.437	0.479	0.526
375	5284.8	0.467	0.437	0.478	0.524	5223.7	0.467	0.437	0.479	0.526
380	5251.4	0.466	0.436	0.480	0.524	5223.7	0.467	0.437	0.480	0.526
385	5221.8	0.467	0.435	0.481	0.526	5221.8	0.467	0.437	0.481	0.526
390	5237.5	0.467	0.434	0.480	0.526	5221.8	0.467	0.437	0.481	0.526
395	5378.1	0.467	0.434	0.484	0.525	5221.8	0.467	0.437	0.484	0.526
400	5169.5	0.468	0.436	0.481	0.529	5169.5	0.468	0.437	0.484	0.529
405	5268.7	0.469	0.438	0.482	0.528	5169.5	0.469	0.438	0.484	0.529
410	5393.3	0.466	0.435	0.479	0.525	5169.5	0.469	0.438	0.484	0.529
415	5328.9	0.468	0.437	0.480	0.527	5169.5	0.469	0.438	0.484	0.529
420	5263.9	0.469	0.438	0.482	0.529	5169.5	0.469	0.438	0.484	0.529
425	5260.8	0.467	0.436	0.480	0.527	5169.5	0.469	0.438	0.484	0.529
430	5330.7	0.468	0.437	0.481	0.527	5169.5	0.469	0.438	0.484	0.529
435	5183.1	0.468	0.437	0.480	0.527	5169.5	0.469	0.438	0.484	0.529
440	5323.9	0.467	0.435	0.480	0.527	5169.5	0.469	0.438	0.484	0.529
445	5362.3	0.467	0.436	0.480	0.526	5169.5	0.469	0.438	0.484	0.529
450	5261.1	0.467	0.436	0.480	0.528	5169.5	0.469	0.438	0.484	0.529
455	5261.5	0.468	0.437	0.481	0.527	5169.5	0.469	0.438	0.484	0.529
460	5262.7	0.470	0.439	0.482	0.530	5169.5	0.470	0.439	0.484	0.530
465	5324.4	0.467	0.436	0.479	0.528	5169.5	0.470	0.439	0.484	0.530
